id@title@content@regular price@height-product@load@rigidity-product@set-of-springs@size-product@image@categories
58@Sinti (Синти)@<div id="description" class="box js-box">  <p>LINEAFLEX предлагает серию детских матрасов.<br /><br />Вся продукция сертифицирована и соответствует всем санитарно-гигиеническим стандартам качества. &nbsp;</p>  <p>Великолепный анатомический матрас Sinti&nbsp;на блоке независимых пружин. Хорошо адаптируется под тело Вашего ребенка, обеспечивая физиологически правильное положение. Мягкие наполнители вместе с чехлом матраса создают идеальный комфорт.<br />Рекомендуется детям до 50 кг.&nbsp;</p>          </div><table border="0" cellspacing="0" cellpadding="0">  <tbody>  <tr valign="top">  <td align="left" width="150"><img src="http://www.lineaflex.ru/files/project_2016/nezav.png" alt="nezav" width="123" height="123" /></td>  <td align="left">Блок независимых пружин гармонично взаимодействует с телом ребенка. Благодаря нежесткому соединению пружин легко адаптируется под контуры тела, обеспечивая естественное положение позвоночника во время сна. Идеально подходит для соединения с наполнителями, хорошо проветривается.</td>  </tr>  </tbody>  </table><table border="0" cellspacing="0" cellpadding="0">  <tbody>  <tr valign="top">  <td align="left" width="280"><img src="http://www.lineaflex.ru/files/project_2016/kokos.png" alt="kokos" width="123" height="123" /><img src="http://www.lineaflex.ru/files/project_2016/hollof.png" alt="hollof" width="123" height="123" /></td>  <td align="left">Кокосовая койра и холлофайбер обладают такими свойствами как антиаллергенность, антистатичность, гигроскопичность, Отлично проветриваются, обеспечивая ощущения свежести во время сна. Великолепно адаптируются под контуры тела. Сочетание этих наполненителей с блоком независимых пружин &ndash; гарантия высокого уровня анатомических свойств этого матраса.</td>  </tr>  </tbody>  </table><table border="0" cellspacing="0" cellpadding="0">  <tbody>  <tr valign="top">  <td align="left" width="280"><img src="http://www.lineaflex.ru/files/project_2016/trik.png" alt="trik" width="123" height="123" /><img src="http://www.lineaflex.ru/files/project_2016/t2.png" alt="t2" width="123" height="123" /></td>  <td align="left">Чехол COMFORT выполнен из трикотажного полотна с антибактериальной и антистатической обработкой. Эта технология исключает развитие грибков и различных микроорганизмов, препятствует распространению неприятных запахов. Наполнение для стежки 100% терморегулируемый холлофайбер, не вызывающий аллергию. Сочетание всех комплектующих позволяет поддерживать постоянную температуру во время сна, а удивительная мягкость делает его приятным при контакте с кожей человека.</td>  </tr>  </tbody>  </table>@@15@50 кг@средняя@"независимый"@@http://www.lineaflex.ru/files/project_2016/good/1352292951_1_mini5.jpg@catalog>mattresses-children>linea-bambina
58@Sinti (Синти)@@5156@@@@@60x120@@
58@Sinti (Синти)@@6875@@@@@60x160@@
58@Sinti (Синти)@@8164@@@@@60x190@@
58@Sinti (Синти)@@8379@@@@@60x195@@
58@Sinti (Синти)@@8594@@@@@60x200@@
58@Sinti (Синти)@@6016@@@@@70x120@@
58@Sinti (Синти)@@7018@@@@@70x140@@
58@Sinti (Синти)@@8021@@@@@70x160@@
58@Sinti (Синти)@@9525@@@@@70x190@@
58@Sinti (Синти)@@9776@@@@@70x195@@
58@Sinti (Синти)@@10026@@@@@70x200@@
58@Sinti (Синти)@@9167@@@@@90x160@@
